basketSize,budtenderId,id,storeId,timestamp,budtendenderName
13.02,b64235eb-f210-4946-a4dc-d2b6c315b68b,e75cb3ae-8d53-4880-8679-39ee5f721f12,275a4b18-a563-4e88-bdb6-b93550f2059f,2023-08-10T18:16:42.780Z,polite_whippet
67.93,c1af97b3-0351-4151-941c-de11db90787d,eb6fcbda-139c-408e-b94c-717b74277ded,a622a78a-b262-4ebe-9a64-67d1ccacfc9d,2023-08-10T18:16:42.780Z,comfortable_asp
2.55,a4f51391-ab17-4f2c-8cde-89d3eb1af3ff,e3125b0c-f8c1-47d8-b52f-9ab20a1e07d2,e1af4861-69f4-44fd-8929-04480c260f0f,2023-08-10T18:16:42.780Z,swift_chinchilla
65.11,579b5ed3-55e2-4399-8888-ec3abd5addac,e4721227-0d34-4c7f-b55d-cad878dc1666,e7478cd6-3a5b-4ca6-ae37-fce8c2fe7906,2023-08-10T18:16:42.780Z,lexical_dove
62.92,94bb5d1d-738d-40bd-acfb-4e1a02e8ca6f,479e05bc-8702-48ce-b66a-0ab01069365f,10522608-4276-4888-87e7-a9baaa91a186,2023-08-10T18:16:42.780Z,successful_capybara
51.45,608d1a2e-b90e-4b40-a033-248d57379f9b,aafec942-6e0b-4986-a560-cdf47b7057ca,8ee5432d-8788-44da-ac63-ee3357359803,2023-08-10T18:16:42.780Z,quickest_bandicoot
25.65,7faa598c-8b63-4821-b9bb-afd4d6fa4e77,4d8305b1-3d6c-47d0-b9de-e8c0099806ea,2df7883a-271d-4a8c-9f9c-3e99d75f3369,2023-08-10T18:16:42.780Z,superb_jackal
13.83,8e0b635b-2fcc-46d7-8203-1df4d6057be0,3a52596b-70e3-465c-88ef-281fd6d61572,b03e3afa-ef8f-4ba7-99f6-27208b9b0ca1,2023-08-10T18:16:42.780Z,extended_takin
93.32,38b07a91-8620-4f5f-a410-fb2fce769088,15149efd-5140-419e-9af9-7f019a6b23e5,4a48d005-8578-453f-8a3f-043141de2a79,2023-08-10T18:16:42.780Z,obnoxious_tortoise
7.93,27e03b1a-c277-4446-b740-3ce8b7f38103,9f417cf2-e310-4bd9-8822-4b039a56b8cc,6967dbf2-f37b-4292-b0ff-5549c2e3cf02,2023-08-10T18:16:42.780Z,prominent_weasel
59.27,bcf2c5c9-d844-43ef-8854-bf7a8ef4afaa,95159e96-8d43-4323-9bed-2c7fd9c936af,34acd0d6-2d5d-4a46-942f-991515a09345,2023-08-10T18:16:42.780Z,usual_dormouse
19.19,29a14f83-5055-4da9-b48c-c3c3b8c62cac,118350a8-9922-4b54-b95d-d9782035e547,e4d59b1a-abbb-42fe-a988-850cefa20d85,2023-08-10T18:16:42.780Z,abundant_hawk
