id,basketSize,budtenderId,locationId,timestamp,budtendenderName
8783e0a4-b67b-4c20-b14a-719458af4a47,92.20,f6ea146d-8af6-4e19-9367-d60a9a5477de,c5eb530d-35ee-451b-8f08-48fa7a20f118,1691690733,simple_pig
9afc4bcc-2e77-49f2-a14e-82de923f52ba,70.68,dff34f23-00b9-4e4d-ac2c-911156c2385a,d8af763b-3a1d-499b-80b5-49452edb414b,1691690733,renewed_bobcat
0bf5481d-4aa8-4d40-a569-b528b02a81cb,62.55,c162786f-339a-48ff-b75f-a217fbb64e62,675ec280-4bb5-4c50-9c96-a6d9ce12278f,1691690733,bewildered_wolverine
d2b599d4-71d1-4b88-82ce-e55210af105a,39.50,ea6d7af8-a822-4681-819b-998a9c608734,ffbbd098-3a75-4ebc-a57b-bef7794e0f35,1691690733,printed_parrot
b848312f-f15c-493d-b146-f84a33448159,59.18,40d5de22-abc5-43d1-b22c-9025bbed6444,6f70b876-d6db-4bd7-bbbe-f02d39c78f90,1691690733,fond_crocodile
4121b2c6-f48f-4094-a812-d6671fe31222,42.57,ef276407-9c60-4a9c-a982-856827b93541,583946aa-a735-4661-bf10-3850dfd0d44a,1691690733,retired_dinosaur
5c0b3935-0563-4333-880a-721cd4f15a56,37.73,d4367570-4b51-4615-a1cd-695f299a2ee5,032c0815-b0b9-462b-b0a4-15fb80cef4f5,1691690733,dangerous_pike
00e8e3cf-7561-4719-b0f3-cc381127a467,33.37,4fd2ed9e-9e30-4fee-a052-ae1ec0bb6715,30bbdd4f-2a33-4cce-9c65-12ae6219b0e5,1691690733,painful_spider
e77f6fb1-3a50-4d28-9f1e-2c99d9d86a19,12.97,5dfba500-f8a4-4583-b676-91e0140d4422,2ffbd185-44d5-4a4d-a20e-fd4945a83875,1691690733,eager_stork
bd513857-b6bb-4dc3-ac80-59a01ea49fff,78.02,b9604a33-f8e5-40de-bd98-ebd6799ded9c,76b9d342-fa6f-4da5-bff0-f480de50dd99,1691690733,grateful_salmon
e3f5a241-616d-4151-8304-af8595a49e50,52.80,1bf74bdb-6a13-4eab-84a0-47a58908d373,f77c8039-ee99-454b-a462-5ff5c1361a27,1691690733,prominent_coral
31832995-1898-4b94-abdc-f64989bc5477,85.47,fbfa211b-8f65-46a6-b3d1-82afcab3cf89,d8371af8-fb05-40a9-8014-c883cd236988,1691690733,principal_mosquito
2dc91f8f-5791-44b9-8b58-16272532f00f,23.85,4dfc3f91-1f60-4843-8820-43a57cdc5f6a,10fcf000-8ae3-47f7-9832-cee14b5df706,1691690733,overseas_porpoise
7ece3ff2-98e7-4865-b1ea-fd33a7a6e2c1,35.50,ab543706-a571-4504-b023-9d9e84ea433f,91ff2f0e-36f8-46dd-8719-53dc11685298,1691690733,binding_earthworm
20acd5d4-bd22-448f-9322-0273d6ced5f8,11.05,d3bed291-b123-4975-ade7-d1119466b077,ef7f7b7d-d7ff-4b45-9046-130179d991b5,1691690733,delighted_gecko
